id,message,intent,expected_action,reason,subcategory
gold_039,Can I return an item without the original manufacturer packaging?,return_and_replacement,AUTO_HANDLE,Explain packaging requirements for return acceptance.,common
gold_040,I received an empty box with just brown paper inside! The phone was stolen!,return_and_replacement,ESCALATE,High-value theft in transit requires security investigation.,complaint
gold_041,How do I print a prepaid return shipping label?,return_and_replacement,AUTO_HANDLE,Step-by-step return label printing instructions via account.,common
gold_042,Can UPS come pick up the return box from my home since I am disabled and cannot drive?,return_and_replacement,AUTO_HANDLE,Explain carrier home pickup option during return creation.,rare
gold_043,I opened the makeup product and realized I am allergic to the ingredients. Can I return opened cosmetics?,return_and_replacement,AUTO_HANDLE,Provide return policy on opened beauty and personal care items.,edge_case
gold_044,Third replacement unit you sent me is ALSO broken! This is ridiculous!,return_and_replacement,ESCALATE,Multiple repeat defective replacements require human supervisor.,complaint
gold_045,What is the return window for holiday gifts purchased in November?,return_and_replacement,AUTO_HANDLE,State holiday extended return policy dates.,common
gold_046,item busted on arrival pls replace,return_and_replacement,AUTO_HANDLE,Short informal damaged item replacement request.,informal_slang
gold_047,Can I drop off my return at a local Kohl's or Whole Foods store without a box?,return_and_replacement,AUTO_HANDLE,Confirm box-free QR code drop-off partner locations.,common
gold_048,Received a book with 20 pages missing in the middle.,return_and_replacement,AUTO_HANDLE,Direct to defective item replacement process.,common
gold_049,I was sent a hazardous chemical bottle that leaked all over the package.,return_and_replacement,ESCALATE,Hazardous materials spill/safety hazard requires human safety team.,complaint
gold_050,Ordered a 4-pack of soap bars but only 1 bar was inside the bag.,return_and_replacement,AUTO_HANDLE,Provide missing parts/quantity resolution options.,common
gold_051,Is there a restocking fee for returning opened computer monitors?,return_and_replacement,AUTO_HANDLE,Clarify electronics return policy and restocking fee guidelines.,common
gold_052,I accidentally returned the wrong item in the return box. How do I get my personal item back?,return_and_replacement,ESCALATE,Personal item mistakenly shipped to warehouse requires manual search ticket.,edge_case
gold_053,Defective microwave started smoking when plugged in!,return_and_replacement,ESCALATE,Electrical fire safety hazard requires immediate escalation.,complaint
gold_054,How long do I have to drop off the return after generating the QR code?,return_and_replacement,AUTO_HANDLE,Explain return code validity period (typically 30 days).,common
gold_055,Can I exchange an item for a different color instead of a refund?,return_and_replacement,AUTO_HANDLE,Guide customer through the exchange options in the returns portal.,common
gold_056,The shoes I bought wore out after 45 days. Can I still return them?,return_and_replacement,AUTO_HANDLE,Explain standard 30-day window and manufacturer warranty options.,edge_case
gold_057,"Wrong book sent. I wanted biology, got calculus.",return_and_replacement,AUTO_HANDLE,Standard wrong item exchange flow.,short
gold_058,My return drop-off was scanned at the post office 10 days ago but shows no progress.,return_and_replacement,ESCALATE,Return parcel stalled in transit delaying customer resolution.,complaint
gold_059,Can I return digital downloaded software?,return_and_replacement,AUTO_HANDLE,State digital goods non-returnable policy.,rare
gold_060,Product box was completely crushed like an elephant stepped on it.,return_and_replacement,AUTO_HANDLE,Informal complaint regarding transit damage; provide replacement steps.,informal_slang
gold_061,Item arrived missing the power cord and remote control.,return_and_replacement,AUTO_HANDLE,Direct customer to missing parts replacement request.,common
gold_062,Received someone else's order containing personal medical supplies with their name on it!,return_and_replacement,ESCALATE,Severe privacy breach / misdelivered health items requires escalation.,edge_case
gold_063,How do I return a bulky item like a 65-inch TV?,return_and_replacement,AUTO_HANDLE,Explain freight/specialized pickup procedures for heavy items.,rare
gold_064,Return label barcode won't scan at the counter.,return_and_replacement,AUTO_HANDLE,Provide instructions to regenerate or re-print return label.,edge_case
gold_065,Seller refused my return request on Marketplace. Can Amazon step in?,return_and_replacement,ESCALATE,A-to-z Guarantee claim dispute requires agent review.,complaint
gold_066,I canceled my order 10 minutes after placing it. When will my money be refunded?,refund_and_cancellation,AUTO_HANDLE,Explain pending authorization hold release timelines (3-5 business days).,common
gold_067,It's been 14 business days since you received my return and still no refund in my bank account.,refund_and_cancellation,ESCALATE,Exceeded standard refund SLA requires billing investigation.,complaint
gold_068,"Please cancel order #114-8829104-99210 immediately, I clicked buy by mistake.",refund_and_cancellation,AUTO_HANDLE,Direct to instant self-service order cancellation before dispatch.,common
gold_069,"The item was canceled by Amazon due to out of stock, but the charge is still on my credit card.",refund_and_cancellation,AUTO_HANDLE,Clarify authorization hold vs settled charge for canceled items.,common
gold_070,I returned a $600 camera and you only refunded $60! Where is the rest of my money?!,refund_and_cancellation,ESCALATE,Severe financial discrepancy on refund amount requires human review.,complaint
gold_071,How long does a refund take if issued to an Amazon Gift Card balance?,refund_and_cancellation,AUTO_HANDLE,State gift card refund processing time (usually within 2-4 hours).,common
gold_072,Can I get a refund for shipping fees since guaranteed 1-day delivery arrived 3 days late?,refund_and_cancellation,ESCALATE,Guaranteed delivery fee refund request requires agent discretion.,complaint
gold_073,"My order has not shipped yet, why won't the cancel button let me cancel it?",refund_and_cancellation,AUTO_HANDLE,Explain 'shipping now' preparation lock and return-upon-delivery workflow.,common
gold_074,gimme my refund now its been 2 weeks,refund_and_cancellation,ESCALATE,Prolonged refund delay with hostile informal tone requires escalation.,informal_slang
gold_075,cancel order asap,refund_and_cancellation,AUTO_HANDLE,Short cancellation request; direct to cancellation button.,short
gold_076,"I returned two items in the same box, but only got refunded for one of them.",refund_and_cancellation,ESCALATE,Multi-item consolidation discrepancy in warehouse requires agent adjustment.,complaint
gold_077,Do you refund international import tax and duties if I return the item?,refund_and_cancellation,AUTO_HANDLE,State policy on customs duties refund for returned international orders.,rare
gold_078,Why was a $15 restocking fee deducted from my refund?,refund_and_cancellation,ESCALATE,Customer disputing fee deduction requires billing review.,complaint
gold_079,Can you refund to a different bank card because my old card was closed due to fraud?,refund_and_cancellation,ESCALATE,Refund to alternate payment method involves fraud/AML compliance.,edge_case
gold_080,How do I cancel a pre-order before the item release date?,refund_and_cancellation,AUTO_HANDLE,Provide instructions to cancel upcoming pre-orders in order management.,common
gold_081,"I was told a refund was processed 5 days ago, but my bank says they have zero record of it.",refund_and_cancellation,ESCALATE,Bank tracer ID / ARN lookup required for missing refund.,complaint
gold_082,Can I get cash refund at Whole Foods instead of credit card refund?,refund_and_cancellation,AUTO_HANDLE,Clarify that drop-off returns refund to original payment source only.,rare
gold_083,Accidentally bought 10 copies of the same Kindle book. Can you cancel the duplicates?,refund_and_cancellation,AUTO_HANDLE,Direct to digital orders 7-day cancellation portal.,common
gold_084,"If I cancel an order paid with rewards points, do the points get refunded to my card?",refund_and_cancellation,AUTO_HANDLE,Explain rewards point reinstatement timelines.,common
gold_085,"I returned the package with tracking proof of delivery, but Amazon claims package never received!",refund_and_cancellation,ESCALATE,Lost return package with carrier proof requires manual refund credit.,complaint
gold_086,Why haven't I received an email confirmation for my cancellation?,refund_and_cancellation,AUTO_HANDLE,Explain notification timing and guide to checking order status online.,common
gold_087,Can I cancel an order that is currently out for delivery?,refund_and_cancellation,AUTO_HANDLE,Advise customer to refuse delivery at door or return once delivered.,common
gold_088,refund missing for order 112-9923847-1928374,refund_and_cancellation,ESCALATE,Explicit missing refund query requiring account investigation.,short
gold_089,The seller canceled my order without explanation and the price has now doubled!,refund_and_cancellation,ESCALATE,Third-party seller price manipulation complaint requires escalation.,complaint
gold_090,What happens to my promotional gift voucher if I cancel the order it was applied to?,refund_and_cancellation,AUTO_HANDLE,Explain promo voucher reusability rules.,common
gold_091,My bank charged me an overdraft fee because of a duplicate charge from your canceled order!,refund_and_cancellation,ESCALATE,Financial penalty caused by billing error requires supervisor escalation.,complaint
gold_092,Can I cancel just one item from a multi-item order?,refund_and_cancellation,AUTO_HANDLE,Guide customer to item-level cancellation in order details.,common
gold_093,How do I check the exact status of an issued refund?,refund_and_cancellation,AUTO_HANDLE,Direct to 'Transactions' tab under Amazon Payments / Your Orders.,common
gold_094,"Seller agreed to refund $20 partial discount for damaged box, how does that work?",refund_and_cancellation,AUTO_HANDLE,Explain partial seller concession refund mechanism.,rare
gold_095,I was promised a refund on chat yesterday and today another agent says no!,refund_and_cancellation,ESCALATE,Conflicting representative commitments require supervisor resolution.,complaint
gold_096,I noticed an unauthorized charge of $139 for Prime on my credit card. I never signed up!,prime_and_subscription,ESCALATE,Unauthorized subscription billing requires immediate account check & refund.,complaint
gold_097,How do I cancel my Amazon Prime membership and avoid automatic renewal?,prime_and_subscription,AUTO_HANDLE,Provide direct link and steps to Manage Prime Membership.,common
gold_098,Can I get a prorated refund for my Prime membership if I cancel halfway through the year?,prime_and_subscription,AUTO_HANDLE,Explain Prime cancellation refund policy based on benefit usage.,common
gold_099,Prime Video is giving me Error Code 1060 on my Samsung smart TV.,prime_and_subscription,AUTO_HANDLE,Provide standard connectivity/cache troubleshooting for Prime Video.,common
gold_100,Why am I being charged extra for Prime Video movies when I already pay for Prime?,prime_and_subscription,AUTO_HANDLE,Clarify difference between included Prime titles and rentals/channels.,common
gold_101,How do I share my Prime benefits with family members through Amazon Household?,prime_and_subscription,AUTO_HANDLE,Explain Amazon Household setup steps for sharing shipping benefits.,common
gold_102,"canceling prime rn, waste of money",prime_and_subscription,AUTO_HANDLE,Informal cancellation intent; provide cancellation link.,informal_slang
gold_103,prime renewal date?,prime_and_subscription,AUTO_HANDLE,Short inquiry; guide to membership settings.,short
gold_104,"I am a university student, how do I apply for Prime Student 50% discount?",prime_and_subscription,AUTO_HANDLE,Provide verification requirements (.edu email or enrollment proof).,common
gold_105,Signed up for 30-day free trial and was charged immediately on day 1!,prime_and_subscription,ESCALATE,Trial billing failure/premature charge requires billing review.,complaint
gold_106,How do I cancel Kindle Unlimited subscription?,prime_and_subscription,AUTO_HANDLE,Guide customer to Memberships & Subscriptions section.,common
gold_107,Music Unlimited keeps pausing after 1 song and says stream limit reached.,prime_and_subscription,AUTO_HANDLE,Explain single-device vs family plan concurrent stream limits.,common
gold_108,I have Prime but standard checkout is charging me $5.99 shipping on Prime-eligible items!,prime_and_subscription,AUTO_HANDLE,Troubleshoot address selection and minimum threshold requirements.,common
gold_109,Why did my Prime annual fee increase from $119 to $139 without my consent?,prime_and_subscription,AUTO_HANDLE,Explain company-wide subscription pricing adjustment and opt-out.,common
gold_110,How do I change the payment card used for monthly Prime billing?,prime_and_subscription,AUTO_HANDLE,Direct to payment settings in Manage Prime Membership.,common
gold_111,Does Prime membership cover Audible audiobooks for free?,prime_and_subscription,AUTO_HANDLE,"Clarify distinction between Prime Reading, Prime Music, and Audible.",common
gold_112,Charged for Prime on two different accounts for the same credit card!,prime_and_subscription,ESCALATE,Duplicate account billing requires human agent consolidation.,complaint
gold_113,Can I pause my Prime membership while I go on vacation for 3 months?,prime_and_subscription,AUTO_HANDLE,Explain pause membership vs cancel and rejoin policy.,rare
gold_114,Why is Prime Video unavailable in the country I just moved to?,prime_and_subscription,AUTO_HANDLE,Explain regional licensing restrictions and country settings.,rare
gold_115,Cancel all my active subscriptions immediately.,prime_and_subscription,AUTO_HANDLE,Direct to central 'Memberships & Subscriptions' management dashboard.,common
gold_116,I want a full refund for Prime because every single package this month was late!,prime_and_subscription,ESCALATE,Prime service quality failure demand for fee compensation requires escalation.,complaint
gold_117,Subscribed to HBO channel on Prime Video by mistake with 1-click.,prime_and_subscription,AUTO_HANDLE,Direct to manage video channel subscriptions for instant cancellation.,common
gold_118,"Prime delivery is not working in my zip code anymore, why?",prime_and_subscription,AUTO_HANDLE,Explain regional carrier or logistics coverage updates.,edge_case
gold_119,How do I redeem my Prime gaming free Twitch subscription this month?,prime_and_subscription,AUTO_HANDLE,Provide Prime Gaming linking instructions.,rare
gold_120,Charged $14.99 every month for something called 'Amazon Channels' - what is this?!,prime_and_subscription,ESCALATE,Unknown recurring digital charge requires agent audit.,complaint
gold_121,Someone hacked into my account and ordered 3 iPhones to an address in another state!,account_and_payment_security,ESCALATE,Active account takeover / fraudulent orders require immediate security freeze.,complaint
gold_122,I am locked out of my account because I changed my phone number and cannot receive 2FA codes.,account_and_payment_security,ESCALATE,Two-factor authentication recovery requires identity verification agent.,complaint
gold_123,Why was my credit card charged $89.50 by Amazon when I have not placed an order in 6 months?,account_and_payment_security,ESCALATE,Unauthorized credit card charge requires fraud investigation.,complaint
gold_124,How do I reset my account password if I forgot my current password?,account_and_payment_security,AUTO_HANDLE,Provide standard self-service password recovery link.,common
gold_125,My account is placed on hold and asks me to upload billing statement. Is this legitimate?,account_and_payment_security,AUTO_HANDLE,Confirm standard account verification security protocol.,common
gold_126,Gift card code was scratched off and 3 digits are unreadable. How can I redeem it?,account_and_payment_security,ESCALATE,Damaged gift card code requires agent redemption with serial number.,edge_case
gold_127,Why does checkout say 'Payment Revision Needed' for my Visa debit card?,account_and_payment_security,AUTO_HANDLE,"Explain common bank decline reasons (expiry, billing address mismatch).",common
gold_128,cant login otp not coming,account_and_payment_security,AUTO_HANDLE,Short SMS delivery delay query; suggest alternate verification options.,short
gold_129,hacked account help now,account_and_payment_security,ESCALATE,Severe emergency account compromise requires immediate human response.,short
gold_130,How do I enable Two-Step Verification for extra account protection?,account_and_payment_security,AUTO_HANDLE,Step-by-step instructions to enable 2SV in Login & Security settings.,common
gold_131,I received an email claiming my account was suspended from 'security@amazon-alert.net'. Is this phishing?,account_and_payment_security,AUTO_HANDLE,Confirm phishing indicator and provide reporting address stop-spoofing@amazon.com.,common
gold_132,Can I transfer my gift card balance to my bank account?,account_and_payment_security,AUTO_HANDLE,State policy that gift card balance cannot be redeemed for cash/transferred.,common
gold_133,Someone opened an unauthorized Amazon Store Card in my name!,account_and_payment_security,ESCALATE,Identity theft / unauthorized credit line requires Synchrony Bank escalation.,complaint
gold_134,How do I delete my payment credit card from my Amazon wallet?,account_and_payment_security,AUTO_HANDLE,Guide customer to Your Payments wallet to remove expired cards.,common
gold_135,I entered a $50 gift card and it says already redeemed to another account!,account_and_payment_security,ESCALATE,Gift card fraud/theft dispute requires agent investigation.,complaint
gold_136,My account was closed without any warning or reason given. I have $200 balance inside!,account_and_payment_security,ESCALATE,Account closure with trapped monetary balance requires appeals review.,complaint
gold_137,How do I update the primary email address on my profile?,account_and_payment_security,AUTO_HANDLE,Direct to Login & Security email edit section.,common
gold_138,Why does Amazon require me to verify with an OTP every single time I log in on my laptop?,account_and_payment_security,AUTO_HANDLE,Explain browser cookie settings and 'Don't ask again on this device' option.,common
gold_139,Someone ordered digital games on my Fire TV while my kids were playing.,account_and_payment_security,AUTO_HANDLE,Direct to parental control PIN settings and accidental digital purchase refund.,common
gold_140,My bank blocked Amazon because of suspicious activity flags. What should I do?,account_and_payment_security,AUTO_HANDLE,Advise customer to authorize transaction with bank and retry payment.,common
gold_141,Is it safe to give my Amazon password to customer support over the phone?,account_and_payment_security,AUTO_HANDLE,Strong security reminder: Amazon will never ask for customer password.,common
gold_142,Can I merge two separate Amazon accounts registered under different emails?,account_and_payment_security,AUTO_HANDLE,Explain that account merging is not supported and suggest Household sharing.,rare
gold_143,Unknown person added a shipping address to my account!,account_and_payment_security,ESCALATE,Signs of credential stuffing / compromise require security reset.,complaint
gold_144,How do I permanently delete my Amazon customer account and data?,account_and_payment_security,AUTO_HANDLE,Provide official link to request account closure and data deletion.,common
gold_145,I was scammed by a caller claiming to be Amazon technical support asking for AnyDesk remote access.,account_and_payment_security,ESCALATE,Active phone impersonation scam victim requires security guidance and account protection.,complaint
gold_146,This is the 5th time I am messaging you and getting the exact same robotic useless copy-paste answer!,service_complaint_escalation,ESCALATE,Repeated support failure and customer exasperation requires human manager.,complaint
gold_147,"Your representative Priya was extremely rude, called me a liar, and disconnected the chat abruptly!",service_complaint_escalation,ESCALATE,Agent misconduct / rudeness complaint requires supervisor investigation.,complaint
gold_148,I demand to speak to a senior manager or team leader immediately. Do not send another bot.,service_complaint_escalation,ESCALATE,Explicit demand for supervisor escalation.,complaint
gold_149,I have been waiting for a promised callback for 3 days. Your customer service is utterly incompetent.,service_complaint_escalation,ESCALATE,Broken support commitment requires immediate manual follow-up.,complaint
gold_150,Worst customer support on planet earth. Nobody takes ownership of anything.,service_complaint_escalation,ESCALATE,Severe customer dissatisfaction requires de-escalation by human specialist.,complaint
gold_151,You guys stole my money and ruined my daughter's birthday. I am reporting this to the FTC and Better Business Bureau!,service_complaint_escalation,ESCALATE,Regulatory agency complaint threat (FTC/BBB) requires formal escalation.,complaint
gold_152,I am filing a lawsuit in small claims court if this issue is not resolved by 5 PM today.,service_complaint_escalation,ESCALATE,Legal litigation threat requires immediate escalation to legal/escalation team.,complaint
gold_153,Transfer me to a real human being right now.,service_complaint_escalation,ESCALATE,Direct refusal of automated system and request for human agent.,complaint
gold_154,ur support is trash nobody knows what they are doing,service_complaint_escalation,ESCALATE,Informal severe support complaint warrants human touch.,informal_slang
gold_155,horrible service!!,service_complaint_escalation,ESCALATE,Short high-negative-sentiment complaint.,short
gold_156,Every time I explain my problem your rep transfers me to another department and I have to repeat from scratch!,service_complaint_escalation,ESCALATE,Endless transfer loop frustration requires dedicated single-point-of-contact.,complaint
gold_157,I spent 4 hours on phone hold yesterday only to be hung up on by your automated system.,service_complaint_escalation,ESCALATE,Extreme wait time and dropped call complaint requires manager attention.,complaint
gold_158,"Your support agent promised me a $50 credit for my inconvenience yesterday and lied, nothing was applied.",service_complaint_escalation,ESCALATE,Unfulfilled agent compensation promise requires review of chat transcripts.,complaint
gold_159,Why does Amazon treat loyal 10-year customers like garbage?,service_complaint_escalation,ESCALATE,Customer loyalty breach and high churn risk requires senior agent.,complaint
gold_160,I want to file a formal complaint against the delivery depot in Birmingham.,service_complaint_escalation,ESCALATE,Formal facility/depot complaint logging requires human ticket.,complaint
gold_161,Is there anyone at Amazon with more than two brain cells who can actually read what I wrote?,service_complaint_escalation,ESCALATE,Exasperated insults due to automated misunderstanding require human intervention.,complaint
gold_162,Your customer service phone line hangs up immediately saying all reps are busy.,service_complaint_escalation,AUTO_HANDLE,Provide alternate contact options via web chat and scheduled callback tool.,common
gold_163,I am a journalist with Forbes writing an article on Amazon delivery failures. Who is your PR contact?,service_complaint_escalation,ESCALATE,Media/press inquiry requires routing to corporate communications / PR team.,edge_case
gold_164,"I will make sure this goes viral on Twitter and TikTok, 100k followers are watching this thread!",service_complaint_escalation,ESCALATE,Social media viral threat / influencer complaint requires PR/social escalation.,complaint
gold_165,Can you give me the direct email address for the CEO executive customer relations team?,service_complaint_escalation,AUTO_HANDLE,Provide information on executive escalations channels.,rare
gold_166,Two weeks of emails back and forth and you still have not answered my simple question.,service_complaint_escalation,ESCALATE,Chronic support deadlock requires human takeover.,complaint
gold_167,Your agent told me to Google the solution myself! Is that what customer service means to you?,service_complaint_escalation,ESCALATE,Agent unprofessionalism complaint requires review.,complaint
gold_168,I demand an apology in writing from the supervisor on duty.,service_complaint_escalation,ESCALATE,Demand for written managerial apology.,complaint
gold_169,I am disgusted by how your Twitter support handles issues.,service_complaint_escalation,ESCALATE,Strong emotional dissatisfaction with channel support.,complaint
gold_170,If I don't get a call within 1 hour I am canceling every single Amazon service my company uses.,service_complaint_escalation,ESCALATE,Enterprise account cancellation ultimatum requires urgent outreach.,complaint
gold_171,Your chatbot is useless and looping in circles.,service_complaint_escalation,ESCALATE,Automated system failure frustration requires human escape hatch.,complaint
gold_172,Why are your support emails sent from no-reply addresses so nobody can answer?,service_complaint_escalation,AUTO_HANDLE,Explain that support communications route through the Contact Us messaging portal.,common
gold_173,I've been given 3 different tracking numbers by 3 different agents. Who is telling the truth?,service_complaint_escalation,ESCALATE,Contradictory information from multiple reps requires authoritative investigation.,complaint
gold_174,You ruined Christmas for my kids. Thanks for nothing.,service_complaint_escalation,ESCALATE,High-distress holiday emotional complaint requires empathetic human handling.,complaint
gold_175,"Zero stars, completely unacceptable treatment.",service_complaint_escalation,ESCALATE,Short severe negative service rating.,short
gold_176,When will the PlayStation 5 console be back in stock for purchase?,general_product_inquiry,AUTO_HANDLE,Explain stock notification alerts and invitation-to-buy program.,common
gold_177,Does this Sony camera come with the lens included or is it body only?,general_product_inquiry,AUTO_HANDLE,Direct customer to product specification and 'In the Box' details on page.,common
gold_178,Is the advertised Cyber Monday 30% discount applied at checkout or requires a promo code?,general_product_inquiry,AUTO_HANDLE,Clarify coupon clip requirement vs automatic promotional discount.,common
gold_179,Can this electronic vacuum be shipped to an APO/FPO military address?,general_product_inquiry,AUTO_HANDLE,Provide shipping restriction guidelines for APO/FPO destinations.,common
gold_180,Are renewed/refurbished Apple MacBooks covered under Amazon Renewed 90-day guarantee?,general_product_inquiry,AUTO_HANDLE,Explain the Amazon Renewed warranty and return guarantee policy.,common
gold_181,stock when?,general_product_inquiry,AUTO_HANDLE,Extremely short inquiry; advise checking product page for restock updates.,short
gold_182,is this legit or fake seller??,general_product_inquiry,AUTO_HANDLE,Explain how to verify 'Shipped and Sold by Amazon' vs third-party sellers.,informal_slang
gold_183,What is the difference between Kindle Paperwhite and Kindle Oasis?,general_product_inquiry,AUTO_HANDLE,"Provide feature comparison summary (screen size, ergonomic design, buttons).",common
gold_184,Can I pay using two different credit cards for a single order?,general_product_inquiry,AUTO_HANDLE,Explain split payment limitation (card + gift card allowed; two cards not allowed).,common
gold_185,Why is the price of this item $20 higher today than it was in my cart yesterday?,general_product_inquiry,AUTO_HANDLE,Explain dynamic pricing and cart save-for-later price change disclaimer.,common
gold_186,Does Amazon price match with Best Buy or Walmart?,general_product_inquiry,AUTO_HANDLE,State Amazon's general policy regarding competitor price matching.,common
gold_187,How do I contact a third-party marketplace seller before placing an order?,general_product_inquiry,AUTO_HANDLE,Provide instructions to click seller profile name and 'Ask a question'.,common
gold_188,Is the Amazon Basics HDMI cable compatible with 4K 120Hz gaming?,general_product_inquiry,AUTO_HANDLE,Direct to technical specifications on HDMI 2.0 vs 2.1 ratings.,common
gold_189,Can I order items on Amazon.com (US) and have them delivered to London UK?,general_product_inquiry,AUTO_HANDLE,Explain Amazon Global international shipping and import fees deposit.,common
gold_190,Are there student discounts on textbooks?,general_product_inquiry,AUTO_HANDLE,Provide details on Prime Student deals and textbook rental program.,common
gold_191,What does 'Frustration-Free Packaging' mean?,general_product_inquiry,AUTO_HANDLE,Explain recyclable packaging shipped without excess blister plastic or outer boxes.,common
gold_192,Is this certified organic by the USDA?,general_product_inquiry,AUTO_HANDLE,Guide customer to nutritional/certification badges on the product listing.,rare
gold_193,How do I create an Amazon Baby Registry or Wedding Registry?,general_product_inquiry,AUTO_HANDLE,Direct to registry creation tools and completion discount perk.,common
